Verb,Correct instances,Wrong instances,Sum,Correct percentage in verb,Wrong percentage in verb
ändern,33,2,35,"0,942857142857143","0,057142857142857"
antworten,12,1,13,"0,923076923076923","0,076923076923077"
arbeiten,220,6,226,"0,973451327433628","0,026548672566372"
bieten,35,2,37,"0,945945945945946","0,054054054054054"
brauchen,123,9,132,"0,931818181818182","0,068181818181818"
bringen,45,3,48,"0,9375","0,0625"
dienen,11,0,11,1,0
drohen,3,1,4,"0,75","0,25"
enden,6,7,13,"0,461538461538462","0,538461538461538"
fahren,8,2,10,"0,8","0,2"
fallen,3,2,5,"0,6","0,4"
finden,245,6,251,"0,976095617529881","0,02390438247012"
folgen,21,0,21,1,0
fragen,45,2,47,"0,957446808510638","0,042553191489362"
geben,555,3,558,"0,994623655913978","0,005376344086022"
gehen,134,8,142,"0,943661971830986","0,056338028169014"
halten,21,5,26,"0,807692307692308","0,192307692307692"
handeln,17,2,19,"0,894736842105263","0,105263157894737"
herrschen,19,0,19,1,0
kämpfen,52,1,53,"0,981132075471698","0,018867924528302"
kaufen,12,0,12,1,0
kennen,29,5,34,"0,852941176470588","0,147058823529412"
kommen,116,5,121,"0,958677685950413","0,041322314049587"
lassen,57,5,62,"0,919354838709677","0,080645161290323"
leben,57,7,64,"0,890625","0,109375"
#,,,,,
lohnen,37,2,39,"0,948717948717949","0,051282051282051"
lösen,34,1,35,"0,971428571428571","0,028571428571429"
merken,4,0,4,1,0
nehmen,64,8,72,"0,888888888888889","0,111111111111111"
nennen,26,2,28,"0,928571428571429","0,071428571428572"
nutzen,12,0,12,1,0
nützen,87,5,92,"0,945652173913043","0,054347826086957"
rauben,4,0,4,1,0
reichen,5,2,7,"0,714285714285714","0,285714285714286"
scheinen,47,0,47,1,0
schließen,7,4,11,"0,636363636363636","0,363636363636364"
schreiben,57,0,57,1,0
sichern,4,3,7,"0,571428571428571","0,428571428571429"
sitzen,17,0,17,1,0
sorgen,25,0,25,1,0
sprechen,63,0,63,1,0
stehen,44,0,44,1,0
stimmen,30,1,31,"0,967741935483871","0,032258064516129"
stören,3,0,3,1,0
streiten,4,0,4,1,0
suchen,45,0,45,1,0
teilen,15,0,15,1,0
treffen,20,1,21,"0,952380952380952","0,047619047619048"
treten,6,0,6,1,0
warten,5,0,5,1,0
weisen,0,3,3,0,1
zahlen,46,7,53,"0,867924528301887","0,132075471698113"
ziehen,15,2,17,"0,882352941176471","0,117647058823529"
,,,,,
Sum,2605,125,2730,,
Accuracy,"0,954212454212454",,,,
